image,title,rate,data
"https://m.media-amazon.com/images/M/MV5BOTM0NDcwYTctNTVkZi00YmVjLTk4ZDMtYjE4ODZmMTcyYmRmXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR10,0,140,207_.jpg",1. 쇼생크 탈출,"9.3
 (2.9M)","1994
2h 22m
15"
"https://m.media-amazon.com/images/M/MV5BMDNiNzhmNGEtZDFjZC00NTVlLThiMjEtZTdlZDNlYmMxYTkwXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_QL75_UY207_CR3,0,140,207_.jpg",2. Daeboo,"9.2
 (2M)","1972
2h 55m
18"
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",3. 다크 나이트,"9.0
 (2.9M)","2008
2h 32m
15"
"https://m.media-amazon.com/images/M/MV5BMGM0MzkxM2MtYWQ2My00NjYyLThhYmYtMTdkNTMyNmFmYTY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR3,0,140,207_.jpg",4. The Godfather Part II,"9.0
 (1.4M)","1974
3h 22m
18"
"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX140_CR0,4,140,207_.jpg",5. 12명의 성난 사람들,"9.0
 (878K)","1957
1h 36m
15"
"https://m.media-amazon.com/images/M/MV5BYjhhNmY3YzItODc4Ny00YzI3LWJkYjYtZTMxOWZkYjE5YzdlXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR2,0,140,207_.jpg",6. 쉰들러 리스트,"9.0
 (1.5M)","1993
3h 15m
15"
"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",7. 반지의 제왕: 왕의 귀환,"9.0
 (2M)","2003
3h 21m
12"
"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR1,0,140,207_.jpg",8. 펄프 픽션,"8.9
 (2.2M)","1994
2h 34m
18"
"https://m.media-amazon.com/images/M/MV5BODAzYTVlZDEtY2I4ZC00MmYyLTk3YWYtZGQxOTBiYjg4YjFjXkEyXkFqcGdeQXVyMTMxNDQyNjM5._V1_QL75_UY207_CR3,0,140,207_.jpg",9. 반지의 제왕: 반지 원정대,"8.9
 (2M)","2001
2h 58m
12"
"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",10. 석양의 무법자,"8.8
 (820K)","1966
2h 41m
12"
"https://m.media-amazon.com/images/M/MV5BNWY3YTMyYzEtNDY4Ny00Y2Y4LTliMWUtZTVjODEzYjBiMzI5XkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR2,0,140,207_.jpg",11. 포레스트 검프,"8.8
 (2.3M)","1994
2h 22m
12"
"https://m.media-amazon.com/images/M/MV5BNjUxODE3NDYtMDM2Zi00ZDZiLWIxMmQtZmNhNzJkZWQyZTE0XkEyXkFqcGdeQXVyMTMxNDQyNjM5._V1_QL75_UY207_CR3,0,140,207_.jpg",12. The Lord of the Rings: The Two Towers,"8.8
 (1.8M)","2002
2h 59m
12"
"https://m.media-amazon.com/images/M/MV5BNjUwNzRiOWMtMjAzMS00OWM5LWJkNjYtNjM0MjlmYzZlYjQ0XkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR4,0,140,207_.jpg",13. 파이트 클럽,"8.8
 (2.4M)","1999
2h 19m
18"
"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",14. 인셉션,"8.8
 (2.6M)","2010
2h 28m
12"
"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,5,140,207_.jpg",15. 스타워즈 에피소드 5 - 제국의 역습,"8.7
 (1.4M)","1980
2h 4m
All"
"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,1,140,207_.jpg",16. 매트릭스,"8.7
 (2.1M)","1999
2h 16m
12"
"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,1,140,207_.jpg",17. 좋은 친구들,"8.7
 (1.3M)","1990
2h 25m
18"
"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,0,140,207_.jpg",18. 뻐꾸기 둥지 위로 날아간 새,"8.7
 (1.1M)","1975
2h 13m
18"
"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX140_CR0,0,140,207_.jpg",19. 인터스텔라,"8.7
 (2.1M)","2014
2h 49m
12"
"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,6,140,207_.jpg",20. 세븐,"8.6
 (1.8M)","1995
2h 7m
18"
"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY207_CR1,0,140,207_.jpg",21. 멋진 인생,"8.6
 (503K)","1946
2h 10m
12"
"https://m.media-amazon.com/images/M/MV5BNTkwY2I5NWMtMjNlNi00ZThjLWI4NzQtNDI4M2I4OGM1YjAzXkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_QL75_UY207_CR3,0,140,207_.jpg",22. 7인의 사무라이,"8.6
 (370K)","1954
3h 27m
15"
"https://m.media-amazon.com/images/M/MV5BN2ZlMDM3YzYtNzU3Ny00YTkxLWFmYzAtMzQ4NGViMDJkMGEzXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_QL75_UY207_CR7,0,140,207_.jpg",23. 양들의 침묵,"8.6
 (1.6M)","1991
1h 58m
15"
"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY207_CR1,0,140,207_.jpg",24. 라이언 일병 구하기,"8.6
 (1.5M)","1998
2h 49m
15"
"https://m.media-amazon.com/images/M/MV5BODJjYmIxN2MtZTNjYy00ZTJmLWEzZjItMjUyYTljMThjMGY1XkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR0,0,140,207_.jpg",25. 시티 오브 갓,"8.6
 (809K)","2002
2h 10m
18"
"https://m.media-amazon.com/images/M/MV5BMTlhYTRhMDEtMjE3ZS00ZDdlLWE1NWMtNjRjMjMwNDQ1ZTc0XkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",26. La vita è bella,"8.6
 (751K)","1997
1h 56m
All"
"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX140_CR0,0,140,207_.jpg",27. 그린 마일,"8.6
 (1.4M)","1999
3h 9m
18"
