배우 ID,배우 이름,제목,평점
1,마동석,범죄도시4,77.6
1,마동석,범죄도시 5,-
1,마동석,황야,41.2
1,마동석,범죄도시 3,77.4
1,마동석,범죄도시 2,93.3
1,마동석,압꾸정,25.5
1,마동석,어셈블: 이터널스 비하인드,78.6
1,마동석,거룩한 밤: 데몬 헌터스,-
1,마동석,그라운드 제로,84.2
1,마동석,이터널스,55.0
1,마동석,번외수사,89.8
1,마동석,나쁜 녀석들: 더 무비,51.7
1,마동석,노리개: 그녀의 눈물,16.0
1,마동석,롱 리브 더 킹: 목포 영웅,45.7
1,마동석,백두산,37.7
1,마동석,시동,59.6
1,마동석,악인전,76.5
1,마동석,동네사람들,41.0
1,마동석,성난황소,47.0
1,마동석,신과함께-인과 연,61.6
2,윤계상,아무도 없는 숲속에서,-
2,윤계상,지오디 마스터피스 더 무비,100.0
2,윤계상,KBS 대기획 ㅇㅁㄷ 지오디,94.1
2,윤계상,유괴의 날,93.5
2,윤계상,키스 식스 센스,83.0
2,윤계상,SNL 코리아 시즌 1,79.0
2,윤계상,크라임 퍼즐,71.4
2,윤계상,유체이탈자,63.2
2,윤계상,초콜릿,46.4
2,윤계상,말모이,81.4
2,윤계상,같이 걸을까,100.0
2,윤계상,유 퀴즈 온 더 블럭,96.7
2,윤계상,범죄도시,92.1
2,윤계상,굿와이프,92.9
2,윤계상,죽여주는 여자,88.4
2,윤계상,극적인 하룻밤,49.5
2,윤계상,라스트,82.6
2,윤계상,소수의견,87.0
2,윤계상,태양은 가득히,-
2,윤계상,레드카펫,47.6
3,팀 로빈스,지하창고 사일로의 비밀,100.0
3,팀 로빈스,다크 워터스,92.0
3,팀 로빈스,당신과 함께한 순간들,83.3
3,팀 로빈스,어 퍼펙트 데이,93.2
3,팀 로빈스,브링크,-
3,팀 로빈스,스포일스 오브 바빌론,-
3,팀 로빈스,1942,-
3,팀 로빈스,그린 랜턴: 반지의 선택,21.1
3,팀 로빈스,럭키 원스,-
3,팀 로빈스,캐치 어 파이어,-
3,팀 로빈스,터네이셔스 D,86.1
3,팀 로빈스,자투라:스페이스 어드벤쳐,76.5
3,팀 로빈스,우주 전쟁,87.5
3,팀 로빈스,미스틱 리버,92.1
3,팀 로빈스,찰리의 진실,14.3
3,팀 로빈스,패스워드,75.0
3,팀 로빈스,미션 투 마스,76.0
3,팀 로빈스,사랑도 리콜이 되나요?,84.8
3,팀 로빈스,크레이들 윌 락,-
3,팀 로빈스,함정,90.0
4,모건 프리먼,무티 : 주술 살인,-
4,모건 프리먼,100 이어스 오브 워너 브로스.,-
4,모건 프리먼,라이어니스: 특수 작전팀,94.7
4,모건 프리먼,지구 위의 생명,100.0
4,모건 프리먼,타임코드 57,-
4,모건 프리먼,베티 화이트 : 셀레브레이션,-
4,모건 프리먼,우리의 우주,-
4,모건 프리먼,파라다이스 하이웨이,53.3
4,모건 프리먼,뱅퀴시,-
4,모건 프리먼,솔로,-
4,모건 프리먼,킬러의 보디가드 2: 킬러의 와이프,77.4
4,모건 프리먼,컴백 트레일,83.3
4,모건 프리먼,킬러의 보디가드 2,68.4
4,모건 프리먼,포이즌 로즈,-
4,모건 프리먼,마담 세크리터리 시즌 6,-
4,모건 프리먼,모건 프리먼의 스토리 오브 갓 시즌 3,-
4,모건 프리먼,엔젤 해즈 폴른,59.6
4,모건 프리먼,아메리카 뮤직&와일드,83.3
4,모건 프리먼,다이 클린트 이스트우드 스토리,-
4,모건 프리먼,마담 세크리터리 시즌 5,-
5,로베르토 베니니,피노키오,60.0
5,로베르토 베니니,로마 위드 러브,75.2
5,로베르토 베니니,호랑이와 눈,100.0
5,로베르토 베니니,커피와 담배,91.9
5,로베르토 베니니,피노키오,-
5,로베르토 베니니,아스테릭스,70.8
5,로베르토 베니니,인생은 아름다워,98.1
5,로베르토 베니니,미스터 몬스터,80.0
5,로베르토 베니니,자니 스테치노,-
5,로베르토 베니니,지상의 밤,91.8
5,로베르토 베니니,달의 목소리,-
5,로베르토 베니니,다운 바이 로,100.0
5,로베르토 베니니,커피와 담배,100.0
5,로베르토 베니니,인 더 폽스 아이,-
6,니콜레타 브라스키,행복한 라짜로,89.4
6,니콜레타 브라스키,인생은 아름다워,98.1
6,니콜레타 브라스키,미스터 몬스터,80.0
7,로빈 윌리엄스,원스 어폰 어 스튜디오,100.0
7,로빈 윌리엄스,로빈의 소원,85.7
7,로빈 윌리엄스,코코: 인간과 대화하는 고릴라,-
7,로빈 윌리엄스,앱솔루틀리 애니씽,53.3
7,로빈 윌리엄스,박물관이 살아있다 : 비밀의 무덤,81.0
7,로빈 윌리엄스,블러바드,75.0
7,로빈 윌리엄스,감독 알트만,-
7,로빈 윌리엄스,메리 프리진 크리스마스,-
7,로빈 윌리엄스,앵그리스트맨,81.3
7,로빈 윌리엄스,페이스 오브 러브,56.3
7,로빈 윌리엄스,버틀러: 대통령의 집사,82.6
7,로빈 윌리엄스,크레이지 원스,-
7,로빈 윌리엄스,해피 피트 2,80.8
7,로빈 윌리엄스,박물관이 살아있다 2,76.1
7,로빈 윌리엄스,하우스 오브 디,-
7,로빈 윌리엄스,결혼 면허 따기,-
7,로빈 윌리엄스,미스터 웜스 - 돈 리클스 프로젝트,-
7,로빈 윌리엄스,어거스트 러쉬,87.3
7,로빈 윌리엄스,포그 시티 매버릭,-
7,로빈 윌리엄스,런어웨이 버케이션,60.0
