제목,예매율,개봉일,포스터
파일럿,20.10%,2024.07.31,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20224666&source=http://moviechart.co.kr/assets/upload/movie/240712102511_7239.jpg
사랑의 하츄핑,13.00%,2024.08.07,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20249733&source=http://moviechart.co.kr/assets/upload/movie/240712104947_6091.jpg
행복의 나라,10.50%,2024.08.14,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20204271&source=http://moviechart.co.kr/assets/upload/movie/240801100656_3493.jpg
리볼버,10.50%,2024.08.07,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20233038&source=http://moviechart.co.kr/assets/upload/movie/240719093411_3565.jpg
빅토리,9.70%,2024.08.14,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20231042&source=http://moviechart.co.kr/assets/upload/movie/240726101620_3296.jpg
데드풀과 울버린,4.60%,2024.07.24,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20247781&source=http://moviechart.co.kr/assets/upload/movie/240712100625_2356.jpg
슈퍼배드 4,4.30%,2024.07.24,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20247440&source=http://moviechart.co.kr/assets/upload/movie/240705105306_7827.jpg
인사이드 아웃 2,2.60%,2024.06.12,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20235974&source=http://moviechart.co.kr/assets/upload/movie/240605112517_7483.jpg
극장총집편 봇치 더 록! 전편,2.40%,2024.08.07,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20241924&source=http://moviechart.co.kr/assets/upload/movie/240712104642_3533.jpg
명탐정 코난: 100만 달러의 펜타그램,1.40%,2024.07.17,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20240983&source=http://moviechart.co.kr/assets/upload/movie/240705103313_9824.jpg
탈주,1.10%,2024.07.03,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20212932&source=http://moviechart.co.kr/assets/upload/movie/240613092904_5368.jpg
퍼펙트 데이즈,0.50%,2024.07.03,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20235926&source=http://moviechart.co.kr/assets/upload/movie/240619102223_3787.jpg
이오 카피타노,0.40%,2024.08.07,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20242010&source=http://moviechart.co.kr/assets/upload/movie/240801093428_3833.jpg
헬로카봇 올스타 스페셜,0.40%,2024.07.31,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20242098&source=http://moviechart.co.kr/assets/upload/movie/240726095323_7366.jpg
수카바티: 극락축구단,0.20%,2024.07.31,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20212336&source=http://moviechart.co.kr/assets/upload/movie/240705105924_1407.jpg
극장판 도라에몽: 진구의 지구 교향곡,0.20%,2024.07.10,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20240850&source=http://moviechart.co.kr/assets/upload/movie/240703094359_7643.jpg
우마무스메 프리티 더비 새로운 시대의 문,0.10%,2024.07.11,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20241343&source=http://moviechart.co.kr/assets/upload/movie/240703093543_3963.jpg
핸섬가이즈,0.10%,2024.06.26,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20208245&source=http://moviechart.co.kr/assets/upload/movie/240613143518_4243.jpg
극장판 프리큐어 올스타즈 F,0.10%,2024.07.31,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20241696&source=http://moviechart.co.kr/assets/upload/movie/240722110305_8453.jpg
더 원더스,0.10%,2024.07.31,https://www.megabox.co.kr/thumb?width=178&height=267&m_code=20158948&source=http://moviechart.co.kr/assets/upload/movie/240722110529_2926.jpg
